# 情境：best_practice｜說明：第一筆(職類推薦1)就命中，且廠商送出的所有職類100%都出現在前5名內（完美命中且全部可見）
情境,職缺名稱,duty0,duty1,duty2,duty3,duty4,職類推薦1,職類推薦2,職類推薦3,職類推薦4,職類推薦5,職類推薦6,職類推薦7,職類推薦8,職類推薦9,職類推薦10,命中名次,前5名覆蓋數,廠商送出數
best_practice,全家便利商店竹東長春店【工讀早班】,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,店長／門市管理人員,售票／收銀人員,休閒娛樂事業從業人員,樓面管理人員,餐飲主管,遊樂景點工作人員,調酒師／吧台人員,冷熱飲調製人員,1,2,2
best_practice,全家便利商店竹東東寧店【工讀晚班】,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,店長／門市管理人員,售票／收銀人員,休閒娛樂事業從業人員,樓面管理人員,餐飲主管,遊樂景點工作人員,調酒師／吧台人員,侍酒師,1,2,2
best_practice,全家便利商店竹東東寧店【工讀大夜班】,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,樓面管理人員,遊樂景點工作人員,餐飲主管,調酒師／吧台人員,金融營業人員,1,2,2
best_practice,全家便利商店竹東長春店【工讀晚班】,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,店長／門市管理人員,售票／收銀人員,休閒娛樂事業從業人員,樓面管理人員,餐飲主管,遊樂景點工作人員,調酒師／吧台人員,冷熱飲調製人員,1,2,2
best_practice,全家便利商店加盟店-假日晚班門市人員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,飯店／旅館服務人員,樓面管理人員,休閒娛樂事業從業人員,餐飲主管,調酒師／吧台人員,冷熱飲調製人員,遊樂景點工作人員,1,2,2
best_practice,全家超商內湖區東湖樂活公園晚班店員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,樓面管理人員,飯店／旅館服務人員,遊樂景點工作人員,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,1,2,2
best_practice,全家便利商店竹北金六家店【工讀大夜】,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,店長／門市管理人員,休閒娛樂事業從業人員,樓面管理人員,遊樂景點工作人員,餐飲主管,調酒師／吧台人員,金融營業人員,1,2,2
best_practice,全家便利商店加盟店-假日早班門市人員,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,飯店／旅館服務人員,樓面管理人員,調酒師／吧台人員,餐飲主管,休閒娛樂事業從業人員,冷熱飲調製人員,侍酒師,1,2,2
best_practice,全家便利商店-工讀生,門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,飯店／旅館服務人員,售票／收銀人員,休閒娛樂事業從業人員,店長／門市管理人員,遊樂景點工作人員,調酒師／吧台人員,金融營業人員,冷熱飲調製人員,藥師助理,1,2,2
best_practice,銷售人員(桃園 環中門市),門市／店員／專櫃人員,售票／收銀人員,,,,門市／店員／專櫃人員,售票／收銀人員,行銷企劃人員,儲備幹部,產品經理,侍酒師,國內業務人員,餐飲主管,調酒師／吧台人員,汽車銷售人員,1,2,2
