類別,雜訊字詞,出現次數
2_分區,🌟蝦皮店到店門市,4
2_分區,電源供應器大廠,4
2_分區,楊梅新農廠,4
2_分區,商IC設計大廠,4
2_分區,蛋品洗選廠,4
2_分區,團】食品加工廠,4
2_分區,泰山廠,4
2_分區,LED燈泡工廠,4
2_分區,漢堡永和安樂門市,4
2_分區,島成日式麵包門市,4
2_分區,台中二廠,4
2_分區,寶山-台積電廠,4
2_分區,44K】屏東門市,4
2_分區,石門,4
2_分區,保養廠,4
2_分區,新開店〞正職門市,4
2_分區,高時薪264門市,4
2_分區,班彈性】彰化門市,4
2_分區,鹿港區,4
2_分區,金門分公司,4
2_分區,上市PCB大廠,4
2_分區,名電腦週邊大廠,4
2_分區,0萬元)藥局門市,4
2_分區,職人員◆全新門市,4
2_分區,正職非約聘-廠,4
2_分區,台中工廠,4
2_分區,濱江廠,4
2_分區,軋鋼廠,4
2_分區,花藝門市,4
2_分區,食品工廠】一廠,4
2_分區,龍潭分公司,4
2_分區,顧客服務處,4
2_分區,廠務駐廠,4
2_分區,12吋廠,4
2_分區,民族廠,4
2_分區,鳳林廠,4
2_分區,九如廠,4
2_分區,鳳山廠,4
2_分區,東港廠,4
2_分區,新竹服務廠,4
2_分區,麟洛廠,4
2_分區,銅科廠,4
2_分區,事務機耗材大廠,4
2_分區,建廠,4
2_分區,】樂活眼鏡_門市,4
2_分區,塑南亞-嘉義廠,4
2_分區,/新港廠,4
2_分區,復興區,4
2_分區,_知名電源大廠,4
2_分區,方城市門市,3
2_分區,7-11富砡門市,3
2_分區,7-11砡安門市,3
2_分區,伊蕾門市,3
2_分區,大園市,3
2_分區,台中美村門市,3
2_分區,衡陽門市,3
2_分區,里港廠,3
2_分區,VE新莊宏匯門市,3
2_分區,德民廠,3
2_分區,藥師助理/門市,3
2_分區,百貨專櫃檔期門市,3
2_分區,一超商南海七門市,3
2_分區,得晴門市,3
2_分區,文心廠,3
2_分區,新竹營業所,3
2_分區,南崁營業所,3
2_分區,艾訊一廠,3
2_分區,松運門市,3
2_分區,統一超商振陞門市,3
2_分區,店_晚班兼職門市,3
2_分區,中山天津門市,3
2_分區,長津門市,3
2_分區,山大夜班超商門市,3
2_分區,-門市,3
2_分區,韓系女裝門市,3
2_分區,新壢智門市,3
2_分區,7-11清茂門市,3
2_分區,大甲廠,3
2_分區,中科廠,3
2_分區,台北廠,3
2_分區,師_工具機大廠,3
2_分區,統一超商升榮門市,3
2_分區,高雄營業所,3
2_分區,苑裡鎮,3
2_分區,＜後壁廠,3
2_分區,中正廠,3
2_分區,原廠,3
2_分區,東興一門市,3
2_分區,文守門市,3
2_分區,中壢食品大廠,3
2_分區,一超商-吉豐門市,3
2_分區,東部,3
2_分區,縣苗栗市苗栗分公司,3
2_分區,市仁愛區基隆分公司,3
2_分區,市安平區台南分公司,3
2_分區,縣彰化市彰化分公司,3
2_分區,市南屯區台中分公司,3
2_分區,縣頭份市頭份分公司,3
2_分區,市豐原區豐原分公司,3
2_分區,南京分公司,3
2_分區,仁德廠,3
2_分區,斗南鎮,3
2_分區,北港鎮,3
2_分區,白河區,3
2_分區,田寮區,3
2_分區,旗津區,3
2_分區,7-11建泰門市,3
2_分區,知名連接器大廠,3
2_分區,遠傳電信門市,3
2_分區,廢棄物回收大廠,3
2_分區,雲科廠,3
2_分區,桃園蘆竹廠,3
2_分區,彰化市區,3
2_分區,台北大巨蛋門市,3
2_分區,06⭐餅乾大廠,3
2_分區,統一超商開封門市,3
2_分區,山上區,3
2_分區,7-11益慶門市,3
2_分區,國安門市,3
2_分區,屏東市區,3
2_分區,楠梓區-日星門市,3
2_分區,短期門市,3
2_分區,超商_群創六廠,3
2_分區,7-11裕田門市,3
2_分區,IKE複合式門市,3
2_分區,權金門市,3
2_分區,7-11里農門市,3
2_分區,台兼職人員及門市,3
2_分區,文康門市,3
